Cond,Soil,Temp,Soil,Prerinse,Step,
41707.0,0.4007523148148148,???,???,???,???,???,E3/10,C3/30,G3*100,
41707.0,0.47112268518518513,0.0,0.99,7.0,64.1,0.0,E98/10,C98/30,G98*100,
41707.0,0.47186342592592595,0.0,0.94,6.0,64.2,0.0,E99/10,C99/30,G99*100,
41707.0,0.47260416666666666,0.0,0.87,6.0,63.6,0.0,E100/10,C100/30,G100*100,
41707.0,0.4733449074074074,0.0,0.8,5.0,62.9,0.0,E101/10,C101/30,G101*100,
41707.0,0.47408564814814813,0.0,0.71,5.0,62.7,0.0,E102/10,C102/30,G102*100,
41707.0,0.4748263888888889,0.0,0.65,4.0,62.7,0.0,E103/10,C103/30,G103*100,
41707.0,0.4755671296296296,0.0,0.58,3.0,63.2,0.0,E104/10,C104/30,G104*100,
41707.0,0.4763078703703704,0.0,0.47,3.0,64.2,0.0,E105/10,C105/30,G105*100,
41707.0,0.47704861111111113,0.0,0.38,3.0,65.2,0.0,E106/10,C106/30,G106*100,
41707.0,0.47778935185185184,0.0,0.27,3.0,66.5,0.0,E107/10,C107/30,G107*100,
41707.0,0.4785300925925926,0.0,0.19,2.0,67.6,0.0,E108/10,C108/30,G108*100,
41707.0,0.4792708333333333,0.0,0.11,2.0,68.5,0.0,E109/10,C109/30,G109*100,
41707.0,0.4800115740740741,0.0,0.06,2.0,65.4,0.0,E110/10,C110/30,G110*100,
41707.0,0.4807523148148148,0.0,0.04,5.0,67.4,0.0,E111/10,C111/30,G111*100,
41707.0,0.4814930555555556,0.0,0.03,1.0,67.4,0.0,E112/10,C112/30,G112*100,
41707.0,0.4822337962962963,0.0,0.03,1.0,65.4,0.0,E113/10,C113/30,G113*100,
41707.0,0.482974537037037,0.0,0.02,2.0,63.4,0.0,E114/10,C114/30,G114*100,
41707.0,0.4837152777777778,0.0,0.01,3.0,60.2,0.0,E115/10,C115/30,G115*100,
41707.0,0.4844560185185185,0.0,0.01,1.0,59.3,0.0,E116/10,C116/30,G116*100,
41707.0,0.48519675925925926,0.0,0.0,1.0,59.2,0.0,E117/10,C117/30,G117*100,
41707.0,0.4859375,0.0,0.0,0.0,61.4,0.0,E118/10,C118/30,G118*100,
41707.0,0.4866782407407408,0.0,0.0,0.0,62.3,0.0,E119/10,C119/30,G119*100,
41707.0,0.4874189814814815,0.0,0.0,0.0,66.2,0.0,E120/10,C120/30,G120*100,
41707.0,0.48815972222222226,0.0,0.0,0.0,64.8,0.0,E121/10,C121/30,G121*100,
41707.0,0.48890046296296297,0.0,0.0,1.0,64.2,1.0,E122/10,C122/30,G122*100,
41707.0,0.4896412037037037,0.0,0.0,1.0,64.4,1.0,E123/10,C123/30,G123*100,
41707.0,0.49038194444444444,0.0,0.0,1.0,64.7,1.0,E124/10,C124/30,G124*100,
41707.0,0.49112268518518515,0.0,0.0,1.0,64.2,1.0,E125/10,C125/30,G125*100,
41707.0,0.49186342592592597,0.0,0.0,0.0,64.6,1.0,E126/10,C126/30,G126*100,
41707.0,0.4926041666666667,0.0,0.0,2.0,63.1,1.0,E127/10,C127/30,G127*100,
41707.0,0.49334490740740744,0.0,0.0,1.0,63.6,1.0,E128/10,C128/30,G128*100,
41707.0,0.49408564814814815,0.0,0.01,2.0,66.1,1.0,E129/10,C129/30,G129*100,
41707.0,0.49482638888888886,0.0,0.01,5.0,63.7,1.0,E130/10,C130/30,G130*100,
41707.0,0.4955671296296296,0.0,0.03,5.0,64.4,1.0,E131/10,C131/30,G131*100,
41707.0,0.49630787037037033,0.0,0.03,4.0,65.1,1.0,E132/10,C132/30,G132*100,
41707.0,0.49704861111111115,0.0,0.03,4.0,65.5,1.0,E133/10,C133/30,G133*100,
41707.0,0.49778935185185186,0.0,0.03,2.0,65.2,1.0,E134/10,C134/30,G134*100,
41707.0,0.4985300925925926,0.0,0.03,2.0,64.0,1.0,E135/10,C135/30,G135*100,
41707.0,0.49927083333333333,0.0,0.01,2.0,63.7,1.0,E136/10,C136/30,G136*100,
41707.0,0.500011574074074,0.0,0.0,3.0,63.1,1.0,E137/10,C137/30,G137*100,
41707.0,0.5007523148148149,0.0,0.0,6.0,61.6,1.0,E138/10,C138/30,G138*100,
41707.0,0.5014930555555556,0.0,0.01,4.0,61.9,1.0,E139/10,C139/30,G139*100,
